id,value,min,max,notes
enemies.fish.swarm.cohesion,2.2,0,10,The school
enemies.fish.swarm.separation,5,0,15,The school
enemies.fish.swarm.alignment,1.6,0,10,The school
enemies.fish.swarm.towardPlayer,1.1,0,10,The school
enemies.fish.swarm.fleeFromPredators,9.5,0,20,The school
enemies.fish.group.min,4,1,30,"HOW MANY ARRIVE PER PICK - the single strongest lever on what the water is made of, which is why all 19 of these are here rather than in config.js. The spawner spends its per-tick budget in CREATURES: a school pick buys a whole school and a shark pick buys one shark, so a roster of 6-14 schools made the arena 75-81% minnows by headcount at every point in a run and the big-body share FELL from 22% at level 10 to 7% at level 21. Only fish.group.max used to live in this file; every other school's numbers were whatever the tuner last saved, so editing config.js did nothing. Measured by npm run test:ramp."
enemies.fish.group.max,9,1,30,school size max
enemies.trout.group.min,3,1,30,
enemies.trout.group.max,6,1,30,
enemies.tang.group.min,3,1,30,
enemies.tang.group.max,7,1,30,
enemies.reeffish.group.min,3,1,30,
enemies.reeffish.group.max,7,1,30,
enemies.fishPackA.group.min,3,1,30,
enemies.fishPackA.group.max,6,1,30,
enemies.fishPackB.group.min,2,1,30,
enemies.fishPackB.group.max,5,1,30,
enemies.fishPackC.group.min,3,1,30,
enemies.fishPackC.group.max,6,1,30,
enemies.fishesA.group.min,3,1,30,
enemies.fishesA.group.max,6,1,30,
enemies.fishesB.group.min,2,1,30,
enemies.fishesB.group.max,5,1,30,
enemies.fishesC.group.min,3,1,30,
enemies.fishesC.group.max,7,1,30,
enemies.brownfish.group.min,3,1,30,
enemies.brownfish.group.max,6,1,30,
enemies.clownfish.group.min,4,1,30,the tightest school in the game - a clownfish is the smallest body in the roster and travels in the biggest crowd
enemies.clownfish.group.max,9,1,30,
enemies.surgeonfish.group.min,3,1,30,
enemies.surgeonfish.group.max,7,1,30,
enemies.tuna.group.min,2,1,30,
enemies.tuna.group.max,5,1,30,
enemies.lanternfish.group.min,3,1,30,
enemies.lanternfish.group.max,6,1,30,
enemies.glowTang.group.min,3,1,30,
enemies.glowTang.group.max,7,1,30,
enemies.glowDarter.group.min,4,1,30,
enemies.glowDarter.group.max,8,1,30,
enemies.barracuda.group.min,3,1,30,"NOT a school - the two aggressive species that arrive as a pack. Weight alone cannot move the mix while every hunter spawns one at a time against schools of a dozen, so these two are the counterweight to the rows above and are deliberately left where they were when the schools were cut."
enemies.barracuda.group.max,5,1,30,
enemies.sailfish.group.min,2,1,30,
enemies.sailfish.group.max,3,1,30,
enemies.shark.hunt.preyRadius,18,0,60,Sharks
enemies.shark.hunt.healPerMeal,8,0,60,Sharks
apexCrowd.enabled,1,,,apex predators share the player
apexCrowd.feedingSlots,2,1,6,apex allowed on the player
apexCrowd.standoff,7,2,20,apex circling distance
apexCrowd.standoffJitter,2.5,0,8,apex circling spread
apexCrowd.circleStrength,1,0,2,apex circling vs closing
apexCrowd.feedTurn,4.5,0.5,15,seconds before the pack rotates
apexCrowd.avoidGap,3.2,1,6,apex personal space (x radii)
apexCrowd.avoidStrength,1.5,0,4,apex avoidance strength
bite.enabled,1,,,hunters snap their jaws
bite.lead,2.2,1,5,open mouth this far out (x reach)
bite.playerReach,1.35,0.5,3,bite-at-player reach (x contact)
bite.cooldown,1.1,0.2,4,fallback bite cooldown (s)
bite.jaw.openTime,0.16,0.02,0.6,jaw gape time (s)
bite.jaw.holdTime,0.07,0,0.5,jaw held open (s)
bite.jaw.closeTime,0.08,0.02,0.6,jaw snap-shut time (s)
bite.lunge.enabled,1,,,lunge into the bite
bite.lunge.speedMul,1.85,1,4,lunge speed (x)
bite.lunge.duration,0.4,0.05,1.5,lunge length (s)
hunterRamp.enabled,1,,,hunters get more aggressive over time
hunterRamp.preyFocus,0.04,0,0.2,fish distraction shed per 20s
hunterRamp.preyFocusMin,0.3,0,1,min fish distraction left (x)
hunterRamp.turnRate,0.02,0,0.08,hunter turn growth per 20s
hunterRamp.turnRateMax,3.05,1,4,hunter turn growth cap (x)
hunterRamp.swarmSeek,0.02,0,0.08,how much harder a SCHOOL presses per 20s. Multiplies swarm.towardPlayer - the only term in the boids pointing at the seal. Nothing else in this block reaches the basic fish; they read no preyRadius and no turnRate.
hunterRamp.swarmSeekMax,3,1,6,cap on that (x). At 3 the pull at the seal is the strongest term in the school's steering and a shoal hunts as a body; at 1 schools mill around you all run exactly as they do today.
enemies.walkingCrab.crawl.floorRushHeight,10.5,1,20,crab rush trigger height
enemies.walkingCrab.crawl.rushSpeedMul,2.5,1,4,crab rush speed mult
enemies.walkingCrab.crawl.feed.seekRadius,60,0,60,chum seek radius
enemies.walkingCrab.crawl.feed.eatRange,1.1,0.3,5,chum eat range
enemies.walkingCrab.crawl.feed.eatTime,2.2,0.2,12,seconds to eat one orb
enemies.walkingCrab.crawl.feed.distanceBias,18,2,80,pile pull half-distance
enemies.walkingCrab.crawl.feed.hoover.pull,5.5,0,20,crab suction
enemies.walkingCrab.crawl.feed.hoover.crumbRate,4,0,20,crab crumbs/sec
enemies.shark.hunt.scavenge.seekRadius,16,0,60,shark chum notice range
enemies.shark.hunt.scavenge.eatRange,2.6,0.5,8,shark gulp range
enemies.shark.hunt.scavenge.eatTime,0.45,0.1,4,shark seconds per orb
enemies.shark.hunt.scavenge.cooldown,3,0,20,shark seconds off the chum
enemies.shark.hunt.scavenge.maxChase,3.5,0.5,15,shark gives up after (s)
enemies.shark.hunt.scavenge.hoover.pull,9,0,30,shark suction
enemies.walkingCrab.crawl.corpse.speedMul,2.2,1,5,rush-the-corpse speed (x)
enemies.walkingCrab.crawl.corpse.settleRange,1.6,0.5,6,stop steering within (x radius)
enemies.shark.hunt.lateral.climbRange,15,4,40,shark: flat until this far out
enemies.shark.hunt.lateral.climbFull,5.5,1,20,shark: full climb inside this
enemies.shark.hunt.lateral.climbFloor,0.12,0,1,shark: climb allowed at range
enemies.shark.hunt.lateral.climbEase,0.9,0.1,6,shark: how fast the climb opens
enemies.shark.hunt.lateral.weavePeriod,5.6,1,16,shark: seconds per weave
enemies.shark.hunt.lateral.weaveAmp,2.4,0,10,shark: head swing
enemies.shark.hunt.lateral.weaveBody,0.1,0,0.6,shark: weave reaching the body
enemies.shark.hunt.lateral.wanderPitch,0.14,0,1,shark: idle wander pitch
hotSpots.enabled,1,0,1,"Boss weak spots. Glowing sores on the outer edge of a boss's silhouette that crit when shot and burst when they've swallowed enough - systems/bossHotSpots.js."
hotSpots.countMin,1,1,4,"Fewest a boss can roll on arrival. The floor is 1 and the code clamps to it as well: a boss with no weak spot is missing a mechanic the player has been taught to look for on every other one, and in the water that is indistinguishable from the feature being broken."
hotSpots.countMax,3,0,6,"Most a boss can roll. Read against the pool (CONFIG.hotSpots.pool, 12) - a boss's spots plus the ones still fading off the last corpse have to fit."
hotSpots.critMul,2.2,1,6,"What a hit inside a spot is worth. Only the sources that AIM get it - bullets, the club swing, the strike. Auras and rings deliberately never crit; they cannot aim, so they would just be multiplying their own tick rate."
hotSpots.ruptureFraction,0.14,0.01,0.6,"Damage (after critMul) that bursts one, as a fraction of the boss's max hp. THE NUMBER THAT DECIDES HOW LONG A SPOT STAYS PUT. At 0.06 a spot was gone in a couple of seconds of focused fire and the fight was mostly the gap between them - the colour shift, the doubling throb and the growing leak never had time to read. At 0.14 a boss with three spots carries nearly half its bar in weak points."
hotSpots.relightSeconds,4,0,20,"Wait before a burst spot is replaced elsewhere on the perimeter. This gap IS the cost of popping one - for these seconds the fight is an ordinary fight."
hotSpots.radiusFrac,0.5,0.05,1.2,"Spot size as a fraction of the WHOLE boss's radius. This is the crit's reach AND the drawn boundary - one number, read from one place, on purpose, which means making a spot more obvious costs reach and there is no way around that. Not a fraction of the hitbox sphere it sits on: a megalodon's biggest fitted sphere is 1.9 units against a body whose reach is 5, so that reading pinned every spot at minRadius and this number did nothing."
hotSpots.hostCap,0.8,0.2,4,"Cap on that size, as a multiple of the hitbox sphere the spot landed on. Stops a spot on a fin tip being drawn several times the size of the fin with a crit reach out over open water."
hotSpots.minRadius,1.1,0.2,4,Floor on that size. Below about this a spot is a light nobody can reliably hit.
hotSpots.maxRadius,4.5,0.5,10,Ceiling on it. Above about this a spot stops being a place to aim at and becomes a region.
hotSpots.minGapFrac,0.7,0,3,"How far apart two spots try to sit, in multiples of the boss's own radius. A preference, not a rule - on a small body there may be no candidate far enough away, and a hard floor there would mean the second and third silently never appear."
hotSpots.ruptureScale,1,0.2,4,"Size of the burst when one goes, on top of the spot's own size. The emitter's size and speed move together behind this - that is the only lever that makes a fusing mass bigger without changing what it is made of."
hotSpots.rays,24,8,64,"Angular samples per hitbox sphere when hunting the outline. Runs once per arrival and once per rupture, never per frame."
hotSpots.ruptureRefRadius,1.6,0.3,6,"The spot size the rupture burst was authored against, in world units. Only exists so ruptureScale above means '1 is as authored' - a bigger spot throws a proportionally bigger mass."
hotSpots.bleedOffset,0.8,0,2,"How far out along the skin the per-hit bleed is born, in multiples of the spot's radius. Not zero: fired from the centre the lobes fuse into a disc that sits ON the light and hides both the hot core and the hit flash."
hotSpots.snapTube,0.35,0.05,2,"How wide a tube around a candidate's own ray counts as the same piece of body when the point is resolved onto the mesh, as a fraction of the hitbox sphere it came from. Candidates sit on the rim of a FITTED sphere and a sphere is not the animal - on the megalodon that rim runs up to 1.18 units outside the mesh, and with the glow painted on the skin a centre off the body loses the whole bright middle of the patch."
hotSpots.insetFrac,0.2,0,0.9,"How far inboard of the outline a spot's centre is pulled, in fractions of its own radius. Not zero: the glow is painted on the skin, so a centre exactly on the silhouette wastes half its circle over open water and the boundary ring - the thing that makes it read as a target - is off the body for most of its length. Keep under 1 or the spot stops touching the outline at all."
kraken.trap.weaveSpeed,6,1,25,"The kraken. How fast it swims while laying its ink ring - and since the weave is the fight's default state, this IS the squid's swimming speed. It was 13 against a roster row of 3.5 that calls this the slowest body in the game; measured, 99.9% of a fight ran at exactly 13.00. A little under twice its cruise reads as a move with intent rather than a sprint, and costs the trap nothing (5 crushes per 60s here against 6 at 13) - what closes the ring is the cloud's lifetime, not how fast the animal gets round."
kraken.trap.giveUp,9,2,20,"The kraken. Seconds of weaving before it abandons a ring it cannot close and regroups. The cloud has a lifetime, so a ring open this long is one whose earliest wall is already dissolving."
kraken.trap.regroup,3,0,12,"The kraken. Seconds of ordinary circling after a failed trap, at the creature's own cruise. This is the fight's rhythm and it did nothing at all until the WEAVE branch grew a condition to match - the squid dropped straight back into weaving on the next frame. Zero here means the boss never rests."
kraken.crush.speed,30,5,60,"The kraken. How fast the lunge travels once committed. This one is ALLOWED to be quick - it is a 0.8s dash down a heading it cannot correct, paid for by a ring that took seconds to build and a 0.9s wind-up. Read against weaveSpeed above: the gap between them is the difference between the animal moving and the animal attacking."
kraken.crush.aimCreep,0.8,0,10,"The kraken. How fast it creeps toward the player during the lunge's wind-up. Not zero: facing is read off the direction of travel, so a boss holding perfectly still keeps whatever heading it had and the tell stops saying WHERE."
kraken.crush.damage,2.5,1,6,"The kraken. What the lunge multiplies its contact damage by for the 0.8s of the dash, billed as an ATTACK rather than as chip (see `ramming`) so it draws on the fight's whole per-second budget instead of the quarter-bar overlap ceiling. It was 3.2, and read against the rest of the roster that is the single biggest hit any boss lands: the megalodon's lunge perk is 2x and its bite is a fixed 24. This is still comfortably the biggest, and it still has to be - the player had two separate chances not to be here, a ring that took seconds to close and a 0.9s wind-up - but at 3.2 landing one was most of a bar and the fight was decided by whether a single dash connected."
