id,slot,text,review,weight,enabled,bosses,perk,notes
gore,prefix,Bloody,,,,bossShark bossOrca,,
grim,prefix,Grim,,,,bossShark bossOrca bossSquid bossCrab bossMosasaur bossHammerhead bossAnglerfish,,
chompy,prefix,Sharp,,,,bossShark bossOrca bossHammerhead,,
grizzle,prefix,Grizzle,,,,bossShark bossOrca bossSquid bossCrab bossAnglerfish,,
sharp,prefix,Sharp,,,,bossShark bossOrca bossHammerhead,,
black,prefix,Black,,,,bossShark,,
white,prefix,White,,,,bossShark,,
old,prefix,Old,,,,bossMosasaur bossBoat,,
ripper,prefix,Ripp'd,,,,bossShark bossMosasaur,,
blackfin,nickname,Blackfin,,,,bossOrca,,
shamu,nickname,Shamu,,,,bossOrca,,
seaworldhater,nickname,Sea World Hater,,,,bossOrca,,
freewilly,nickname,Free Willy,,,,bossOrca,,
bigwilly,nickname,Big Willy,,1.2,,bossOrca,giant,
bigwillyCopy,nickname,William,,1.2,,bossOrca,,
bigwillyCopy2,nickname,Billy Ocean,,1.2,,bossOrca,,
bigwillyCopy3,nickname,Sir William Eyelash,,1.2,,bossOrca,,
dorksided,nickname,Angular,,,,bossOrca,,
maw,root,mouth,,,,bossShark bossOrca bossMosasaur,,
fin,root,fin,,,,bossShark bossOrca bossMosasaur bossHammerhead,,
tooth,root,tooth,,,,bossShark bossOrca bossMosasaur,,
jaw,root,jaw,,,,bossShark bossOrca bossMosasaur,,
gullet,root,lips,,,,bossShark bossOrca bossHammerhead,,
chompers,root,chompers,,,,bossShark bossOrca bossMosasaur,,
penis,root,penis,,.4,,bossShark bossOrca,,
scar,root,scar,,,,bossShark bossOrca bossSquid bossAnglerfish,,
tide,root,tide,,,,bossShark bossOrca bossSquid bossCrab bossMosasaur bossHammerhead bossBoat bossYacht bossAnglerfish,,
fluke,root,fluke,,,,bossOrca,,
ass,root,ass,,.5,,bossShark bossOrca bossSquid bossAnglerfish,,
devourer,epithet,the Chumbucket Rumbler,,,,bossShark bossOrca,,
tidebreaker,epithet,the Glizzy Guzzler,,,,bossShark bossOrca bossCrab,,
deepwarden,epithet,the Daddy Dom,,,,bossShark bossOrca bossCrab,,
nofin,epithet,the Naked,,,,bossShark bossOrca bossSquid bossCrab bossAnglerfish,,
bigdog,epithet,the Big Dog,,,,,giant,
breaker,epithet,the Seal Breaker,,0.6,,,,
clubber,epithet,the Baby Clubber,,,,bossHammerhead,,
hungry,epithet,the Everhungry,,,,bossShark bossOrca bossSquid bossCrab bossMosasaur bossHammerhead bossAnglerfish,,
famishd,epithet,the Famish'd,,,,bossShark bossOrca bossSquid bossCrab bossMosasaur bossHammerhead bossAnglerfish,,
surferslurper,epithet,the Surfer Slurper,,,,bossShark bossOrca bossSquid bossCrab bossMosasaur bossHammerhead bossAnglerfish,,
beachbumbandit,epithet,the Beach Bum Bandit,,,,bossShark bossOrca bossSquid bossCrab bossHammerhead,,
