id,group,kind,label,plural,unlock,template,review,unit,lower,bare,percentOfOne,notes
maxHp,the seal,flat,max HP,,,,,,,,,
maxSpeed,the seal,percent,max speed,,,,,,,,,
pickupRadius,the seal,percent,pickup radius,,,,,,,,,
chumGulpRadius,the seal,percent,gulp radius,,,,,,,,,
regenPerSec,the seal,flat,HP/sec,,,,,,,,,
maxOxygen,the seal,flat,max oxygen,,,,,,,,,
oxygenRefillRate,the seal,percent,surface refill speed,,,,,,,,,
fireRate,the gun,percent,fire rate,,,,,,TRUE,,,
damage,the gun,percent,projectile damage,,,,,,,,,
speed,the gun,percent,projectile speed,,,,,,,,,
leftFinRadiusMul,the gun,percent,left fin projectile size,,,,,,,,,"Flippers Up! — how much bigger the pebbles out of the LEFT flipper are. Renders as '+35% <label>'. Two or three words; it has to name the pebble AND say which side, because the right-hand row sits next to it on the same card once the second stack is taken. Seen on the level-up card and in the Upgrades tab."
rightFinRadiusMul,the gun,percent,right fin projectile size,,,,,,,,,"The right-hand half of the pair above. Same shape, same length; the two read side by side as '+35% X, +35% Y' on a card that stacked twice, so they should differ only in the word for the side."
flippersUpStacks,the gun,level,Flippers Up!,,,,,,,,,"NOT NEW COPY — this is the card's own name out of upgrades.csv, repeated here only so a card can never render the raw variable name. phraseAll drops a level stat that arrives beside real ones, and this one always does (the size multiplier moves on every stack), so it is not expected to appear on any card. It exists because 'not expected to' is not the same as 'cannot'."
leftFinElementLevel,the gun,level,Fix FX,,Fin FX,,,,,,,"Flippers Up! stack 3 and up: how deep the LEFT flipper's own element is. Two lines needed. `label` is what a deepening stack reads as ('+1 <label> levels'), two or three words naming the fin and its element. `unlock` is the whole clause the card that first lights that fin shows instead — the shape Sea Garlic and the Glow Up! cards use, a bare noun phrase with no verb in front of it, naming what the player just bought. The element itself is rolled per run, so neither line can name a specific one."
rightFinElementLevel,the gun,level,Finx FX,,Fin FX,,,,,,,"The right-hand half of the pair above. Same two lines, same lengths; they differ only in the word for the side."
multishot,the gun,count,projectile,,,,,,,,,
multishotLevel,the gun,level,projectile,,,,,,,,,"Bookkeeping, not a card line. `multishot` beside it is the pellet count a player reads; this row exists because every stat an upgrade moves needs an entry, and it is deliberately given no `unlock` text so phraseAll drops it every time — the count row is always moving alongside it. Same word as that row on purpose; there is nothing new to write here."
pierce,the gun,count,enemy,enemies,,,,,,,,"Reads as the tail of a sentence — ""Bullets pierce {effect}"" — because that is the shape the card has always had."
projectileLifeMul,cross-cutting,percent,projectile lifetime,,,,,,,,,"André 3000's stat. Names how long everything the seal fires stays in the water — the card reads as a bare {effect}, so this label IS the card (""+25% <label>""). Two or three words, and it has to cover missiles and thrown shells as well as the gun, not just the pebbles."
recoil,the gun,percent,recoil boost,,,,TRUE,,,,,"Sits at 0 by default, so recoil *= 1.3 measures as no change at all and {effect} correctly declines to claim one. The label is here for the day the base is raised off zero."
projectileBonus,the gun,count,of everything you fire,,,,TRUE,,,TRUE,,"bare: the label is already a whole phrase (""of everything you fire""), so no noun is appended."
orbiterBonus,the gun,count,of everything that circles you,,,,TRUE,,,TRUE,,
strikeDamage,the strike,percent,strike damage,,,,TRUE,,,,,
strikeChainMul,the strike,percent,chain damage,,,,TRUE,,,,,
strikeDashSpeed,the strike,percent,dash speed,,,,TRUE,,,,,
strikeDashDuration,the strike,percent,dash length,,,,TRUE,,,,,
strikeChargeTime,the strike,percent,charge speed,,,,TRUE,,TRUE,,,
strikeChumRefill,the strike,flat,refill per chum,,,,TRUE,,,,TRUE,"percentOfOne: the stat is a fraction of a meter, so it reads better as a percentage of the thing it fills than as ""+0.15""."
shrapnelCount,the strike,count,fragment,,,,TRUE,,,,,
breachChainLevel,the strike,count,link per breach,,,,TRUE,,,,,
aoeMul,cross-cutting,percent,"blast, aura and wave size",,,,TRUE,,,,,
targetingMul,cross-cutting,percent,targeting range,,,,TRUE,,,,,
companionScale,cross-cutting,percent,companion size,,,,TRUE,,,,,
companionDamageMul,cross-cutting,percent,companion damage,,,,TRUE,,,,,
biolumLevel,cross-cutting,level,element,,an element on your shots and strike,,TRUE,,,,,
bounceLevel,ricochet,level,ricochet,,a chaining ricochet shot,,TRUE,,,,,
bounceFireRate,ricochet,percent,ricochet fire rate,,,,TRUE,,TRUE,,,
bounceLife,ricochet,flat,ricochet lifespan,,,,TRUE,s,,,,
bounceMaxBounces,ricochet,count,bounce,,,,TRUE,,,,,
missileCount,counted,count,seeking mussel,,,,TRUE,,,,,
shrimpCount,counted,count,orbiting shrimp,orbiting shrimp,,,TRUE,,,,,
shrimpLevel,counted,level,orbiting shrimp,orbiting shrimp,,,,,,,,"Bookkeeping, not a card line — see the note on multishotLevel. `shrimpCount` is the row a player reads; this one is dropped by phraseAll on every card because it carries no `unlock`."
scallopCount,counted,count,wild scallop,,,,TRUE,,,,,
garlicLevel,,level,sea garlic,,a garlicky aura,,TRUE,,,,,
eelLevel,,level,electric eel,,chain lightning,,TRUE,,,,,
laserEyesLevel,,level,laser eyes,,eye beams,,TRUE,,,,,
bubbleJetLevel,,level,[DRAFT] bubble jet,,[DRAFT] a bubble jet,,,,,,,"The stat name the card falls back to, and what the FIRST stack reads as (`unlock`). Two or three words each; the unlock line is the one a player sees the very first time the card is offered, so it has to say a new weapon has arrived rather than that a number went up."
starfishLevel,,level,starfish,,starfish projectiles,,TRUE,,,,,
seagullLevel,,level,seagull,,homing dive-bombers,,TRUE,,,,,
belugaLevel,,level,beluga,,an oxygen filled bubble that also traps baddies.,,TRUE,,,,,
sealTeamLevel,,count,escort seal,,,,TRUE,,,,,
bakalarLevel,,level,Bakalar's boat,,a net full of bombs,,TRUE,,,,,
calamariLevel,,level,calamari ring,,rings of fried squid,,TRUE,,,,,
dumboLevel,,level,dumbo octopus,,a charm on nearby enemies,,TRUE,,,,,
harpLevel,,level,harp seal,,notes that charm the biggest enemy near you,,TRUE,,,,,
oysterLevel,,level,oyster blaster,,bursting pearls,,TRUE,,,,,
razorClamLevel,,level,razor clam,,x-tra sharp razor clam blades,,TRUE,,,,,
octoGrabLevel,,level,octopus grabber,,"an octopus buddy that reels in fish, and pops them into chum for you, {player}",,TRUE,,,,,
orcaLevel,,level,orca family,,3 orca buddies who will attack yachts and other orca opps.,,TRUE,,,,,
dolphinPodLevel,,level,dolphin pod,,a pod of dolphins working the surface,,TRUE,,,,,"The card that raises this is a STUB — disabled in upgrades.csv, and no system reads the stat yet (see CONFIG.upgrades.dolphinPod). The label is here anyway because npm run test:text fails on a stat without one: the day the card is switched on, its {effect} has to render as English rather than as dolphinPodLevel."
musselVolleyLevel,,level,mussel barrage,,"on perfect strike, launches a bearded barrage of mussel munitions",,TRUE,,,,,
clubLevel,,level,club,,a club in your fin slot.,,TRUE,,,,,
clubThrowLevel,,level,thrown club,,hurled homing clubs on a strike,,TRUE,,,,,
clubBoomLevel,,level,club blast,,every club hit detonates,,TRUE,,,,,
clubIceLevel,,level,club ice,,chill and freeze enemies,,TRUE,,,,,
clubCount,the bouncer,count,club,,,,TRUE,,,,,"The Bouncer's four. Percentages rather than a level, because the card is a multiplier on a class rather than a level of anything — there is no ""club power 3"" to name, only the numbers it moved."
